jockey_name,jockey_id,category,rides_total,rides_jra,rides_nar,nige_rate,senko_rate,mae_iki_rate,chudan_rate,koho_rate,avg_pos1c_rel,ds_rides,ds_nige_rate,ds_senko_rate,ds_mae_iki_rate,ns_rides,ns_koho_rate,wins,win_rate,recent_rides,recent_nige_rate,recent_mae_iki_rate
津村,01092,JRA,2178,2178,0,11.02,24.15,35.17,33.01,25.16,0.4068,790,0.13,11.39,11.52,517,2.51,172,7.9,624,11.54,36.22
藤野俊一,B0009,NAR,2176,0,2176,10.75,21.74,32.49,30.93,41.82,0.5495,0,0.0,0.0,0.0,0,0.0,242,11.12,317,10.41,28.71
菊沢,01161,JRA,2169,2169,0,7.65,18.26,25.91,34.76,33.2,0.4723,1034,0.19,9.38,9.57,358,1.68,89,4.1,703,7.11,28.17
石堂響,05576,NAR,2156,0,2156,6.17,18.14,24.3,30.66,48.19,0.5959,1125,1.42,13.16,14.58,221,4.07,88,4.08,562,4.27,21.71
永森大智,05536,NAR,2154,0,2154,15.0,20.29,35.28,32.17,37.14,0.5008,837,1.43,13.02,14.46,603,8.29,407,18.9,619,15.67,35.54
武豊,00666,JRA+NAR,2150,2096,54,12.84,20.09,32.93,33.02,30.84,0.4508,811,0.99,8.75,9.74,444,2.7,290,13.49,580,11.72,30.69
村上弘樹,a02e0,NAR,2137,0,2137,5.94,14.97,20.92,32.52,47.92,0.5818,979,1.53,7.87,9.4,311,7.07,162,7.58,727,6.74,21.6
三浦,01122,JRA,2136,2136,0,12.08,22.24,34.32,32.96,27.2,0.4253,767,0.65,9.78,10.43,494,1.82,187,8.75,518,13.13,38.03
木幡巧,01162,JRA,2133,2133,0,9.14,21.19,30.33,34.6,28.5,0.4392,954,0.63,10.59,11.22,415,0.96,87,4.08,616,7.79,27.11
横山和,01140,JRA,2121,2121,0,13.44,22.87,36.3,25.37,34.23,0.459,761,1.05,9.59,10.64,530,5.66,247,11.65,505,13.66,37.82
大柿一真,05567,NAR,2120,0,2120,9.48,18.58,28.07,27.12,48.21,0.5737,1019,0.98,12.27,13.25,344,6.1,147,6.93,520,8.27,26.73
井上幹太,05522,NAR,2115,0,2115,7.85,16.78,24.63,30.35,47.8,0.5866,968,1.86,11.57,13.43,304,5.26,138,6.52,534,8.8,29.21
山崎雅由,a0258,NAR,2101,0,2101,8.57,20.7,29.27,34.03,42.03,0.5437,1103,1.18,16.95,18.13,341,2.05,162,7.71,645,10.23,35.81
福原杏,05595,JRA+NAR,2096,3,2093,10.73,18.13,28.86,31.68,41.32,0.532,849,2.12,9.66,11.78,403,7.44,190,9.06,534,13.11,32.58
菱田,01144,JRA,2077,2077,0,8.81,19.31,28.12,32.16,35.0,0.4787,812,1.23,8.37,9.61,318,2.2,137,6.6,500,6.4,25.4
藤田凌,05559,NAR,2075,0,2075,9.93,21.3,31.23,33.11,34.7,0.4844,928,0.86,9.16,10.02,433,1.39,169,8.14,588,9.86,30.95
長谷部駿,05580,NAR,2070,0,2070,18.02,22.32,40.34,28.26,33.43,0.4714,814,2.95,14.86,17.81,401,1.5,189,9.13,520,21.73,47.88
林謙佑,a02f8,NAR,2052,0,2052,10.19,23.68,33.87,33.38,37.87,0.5152,865,1.39,17.11,18.5,308,3.25,171,8.33,329,7.6,25.53
ルメー,05339,JRA,2042,2042,0,10.28,24.05,34.33,40.01,19.49,0.395,711,0.42,11.81,12.24,486,2.06,518,25.37,516,11.05,35.08
井上瑛太,05615,NAR,2028,0,2028,11.14,19.82,30.97,26.53,45.86,0.5547,940,0.96,11.17,12.13,492,5.49,244,12.03,634,17.03,41.32
青柳正義,a01e5,NAR,2005,0,2005,13.72,33.52,47.23,35.56,28.33,0.4573,697,2.73,22.53,25.25,373,3.75,329,16.41,675,12.89,46.81
松木大地,05581,NAR,2001,0,2001,8.15,15.64,23.79,25.99,52.72,0.6097,949,1.69,7.27,8.96,223,8.97,121,6.05,479,8.77,24.01
斎藤,01178,JRA,1992,1992,0,12.05,20.63,32.68,33.79,27.86,0.4278,747,1.74,8.43,10.17,401,0.75,127,6.38,582,13.92,34.71
小谷周平,a01e6,NAR,1971,0,1971,6.85,15.27,22.12,23.14,56.77,0.6437,1037,1.25,10.03,11.28,179,3.91,67,3.4,480,4.79,19.17
郷間勇太,05496,NAR,1963,0,1963,8.51,20.48,28.99,30.46,44.47,0.5592,985,1.73,12.39,14.11,265,4.15,174,8.86,562,8.72,30.96
丹羽克輝,05324,NAR,1951,0,1951,8.2,21.37,29.57,42.75,28.55,0.4716,918,1.63,12.53,14.16,275,4.36,123,6.3,633,6.0,20.85
中村太陽,B0077,NAR,1945,0,1945,6.53,15.94,22.47,29.87,51.31,0.6224,0,0.0,0.0,0.0,0,0.0,144,7.4,833,5.4,22.81
大野,01096,JRA,1945,1945,0,7.04,16.92,23.96,35.27,36.4,0.4955,853,0.94,7.85,8.79,294,2.38,102,5.24,443,7.22,28.67
服部茂史,05286,NAR,1930,0,1930,11.3,22.75,34.04,34.4,35.96,0.5011,928,0.75,8.19,8.94,421,1.43,252,13.06,625,11.2,31.68
東川慎,a03df,NAR,1926,0,1926,11.47,19.42,30.89,23.52,52.44,0.5968,1244,4.58,12.46,17.04,291,6.19,140,7.27,674,11.57,29.97
内田博,00422,JRA,1925,1925,0,7.12,16.31,23.43,32.94,39.06,0.5057,844,0.24,7.7,7.94,227,1.76,70,3.64,447,4.92,23.27
長田進仁,05147,NAR,1913,0,1913,9.93,19.81,29.74,31.68,41.19,0.5343,907,3.64,13.34,16.98,272,5.51,98,5.12,458,12.88,30.35
柴田勇真,a02fb,NAR,1885,0,1885,13.63,25.04,38.67,32.2,38.25,0.5139,961,2.91,17.17,20.08,297,5.05,189,10.03,675,11.26,33.63
山中悠希,05598,NAR,1874,0,1874,14.35,22.73,37.09,31.11,33.99,0.4843,990,2.32,14.95,17.27,488,1.23,178,9.5,735,16.6,40.14
秋元耕成,05347,NAR,1870,0,1870,5.88,10.37,16.26,28.72,56.68,0.6328,1003,1.5,7.88,9.37,163,13.5,79,4.22,540,3.33,15.19
吉井章,05583,NAR,1861,0,1861,8.22,16.39,24.61,36.49,37.67,0.5185,894,0.34,4.36,4.7,373,1.07,180,9.67,575,7.83,26.09
石川,01150,JRA,1856,1856,0,10.4,17.83,28.23,31.2,35.24,0.4793,738,0.27,7.86,8.13,282,2.48,113,6.09,396,11.62,31.82
笹田知宏,a029e,NAR,1851,0,1851,15.72,25.61,41.33,30.69,31.77,0.4611,689,1.45,16.26,17.71,413,5.33,275,14.86,445,12.81,38.88
松若,01154,JRA,1844,1844,0,12.31,23.75,36.06,29.45,29.23,0.4326,688,0.73,9.59,10.32,346,1.45,101,5.48,547,10.42,31.44
御神本訓,05404,NAR,1843,0,1843,15.52,23.87,39.39,34.56,26.21,0.4292,651,1.54,9.83,11.37,516,4.07,407,22.08,512,14.06,39.84
川田,01088,JRA,1838,1838,0,10.07,31.01,41.08,37.6,17.03,0.3735,543,1.66,16.39,18.05,518,3.09,475,25.84,470,9.36,44.89
安藤洋一,a025f,NAR,1836,0,1836,11.6,19.61,31.21,26.31,41.12,0.5143,789,0.63,6.34,6.97,451,1.77,182,9.91,538,11.34,33.27
☆今井千尋,B0068,NAR,1826,0,1826,15.01,29.85,44.85,36.09,25.08,0.4417,0,0.0,0.0,0.0,0,0.0,241,13.2,900,18.78,49.44
木村直輝,05564,NAR,1825,0,1825,5.26,14.47,19.73,29.26,54.47,0.6226,975,1.13,10.56,11.69,135,3.7,60,3.29,465,5.81,20.0
山田祥雄,05543,NAR,1824,0,1824,6.41,14.53,20.94,24.78,55.21,0.6236,874,2.06,7.21,9.27,192,9.9,135,7.4,440,5.0,19.55
田中純,05456,NAR,1823,0,1823,8.28,17.99,26.28,28.2,48.0,0.5699,836,2.15,11.24,13.4,204,8.82,148,8.12,493,5.27,19.88
丸山,01127,JRA,1815,1815,0,10.41,21.87,32.29,32.29,30.25,0.4402,680,1.91,9.71,11.62,359,1.95,96,5.29,436,9.63,31.65
